link_album,album,artis,score
https://www.albumoftheyear.org/album/867088-taylor-swift-the-tortured-poets-department.php,THE TORTURED POETS DEPARTMENT,Taylor Swift,0.4075658671650678
https://www.albumoftheyear.org/album/661201-taylor-swift-speak-now-taylors-version.php,Speak Now (Taylor's Version),Taylor Swift,0.3103634892191353
https://www.albumoftheyear.org/album/6124-the-national-trouble-will-find-me.php,Trouble Will Find Me,The National,0.29814280122358283
https://www.albumoftheyear.org/album/732981-ed-sheeran-autumn-variations.php,Autumn Variations,Ed Sheeran,0.2719404541266492
https://www.albumoftheyear.org/album/173800-lana-del-rey-chemtrails-over-the-country-club.php,Chemtrails Over the Country Club,Lana Del Rey,0.25895770678460406
https://www.albumoftheyear.org/album/381307-taylor-swift-red-taylors-version.php,Red (Taylor's Version),Taylor Swift,0.2475139351201686
https://www.albumoftheyear.org/album/722921-taylor-swift-1989-taylors-version.php,1989 (Taylor's Version),Taylor Swift,0.22762450550420532
https://www.albumoftheyear.org/album/579013-lana-del-rey-did-you-know-that-theres-a-tunnel-under-ocean-blvd.php,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,0.20624960568480893
https://www.albumoftheyear.org/album/121870-lana-del-rey-norman-fucking-rockwell.php,Norman Fucking Rockwell!,Lana Del Rey,0.20430469292341505
https://www.albumoftheyear.org/album/164468-bon-iver-ii.php,"i,i",Bon Iver,0.19415836295327243
