,link_album,album,artis,score
1383,album/673126-taylor-swift-midnights-the-late-night-edition.php,Midnights (The Late Night Edition),Taylor Swift,0.372618456675609
3702,album/381307-taylor-swift-red-taylors-version.php,Red (Taylor's Version),Taylor Swift,0.35358849033241074
2911,album/671801-taylor-swift-midnights-the-til-dawn-edition.php,Midnights (The Til Dawn Edition),Taylor Swift,0.33937377458047135
2464,album/561125-taylor-swift-midnights-3am-edition.php,Midnights (3am Edition),Taylor Swift,0.27788249554273564
1343,album/168502-taylor-swift-1989-deluxe-edition.php,1989 (Deluxe Edition),Taylor Swift,0.2770666029248968
2599,album/264058-taylor-swift-folklore.php,folklore,Taylor Swift,0.2626454816838696
4845,album/271835-taylor-swift-folklore-deluxe-version.php,folklore (deluxe version),Taylor Swift,0.2622231457112544
2252,album/19170-taylor-swift-1989.php,1989,Taylor Swift,0.2614188470303194
1586,album/661201-taylor-swift-speak-now-taylors-version.php,Speak Now (Taylor's Version),Taylor Swift,0.25592188874238847
3395,album/743-taylor-swift-fearless.php,Fearless,Taylor Swift,0.24436019688064503
