index,link_album,album,artis,score
1,album/513380-twenty-one-pilots-mtv-unplugged.php,MTV Unplugged,twenty one pilots,35.7641
2,album/321497-rathammock-everything-all-at-once-forever.php,"Everything, All At Once, Forever",RAT!hammock,35.7641
3,album/921903-plug-out-head-milkshake.php,Milkshake,Plug Out Head,35.7641
4,album/194648-coin-dreamland.php,Dreamland,COIN,35.7641
5,album/8089-neds-atomic-dustbin-god-fodder.php,God Fodder,Ned's Atomic Dustbin,35.7641
6,album/807180-the-chisel-what-a-fucking-nightmare.php,What A Fucking Nightmare,The Chisel,35.7641
7,album/921906-chris-quilala-split-the-sky.php,Split The Sky,Chris Quilala,35.7641
8,album/57380-bastille-wild-world.php,Wild World,Bastille,35.7641
9,album/335975-black-dresses-forever-in-your-heart.php,Forever in Your Heart,Black Dresses,35.7641
10,album/430315-first-of-october-gotta-record-everything-good.php,Gotta Record Everything Good,First of October,35.7641
