link_album,album,artis,score
https://www.albumoftheyear.org/album/51577-xiu-xiu-plays-the-music-of-twin-peaks.php,Plays The Music of Twin Peaks,Xiu Xiu,113.41969821986851
https://www.albumoftheyear.org/album/163045-brockhampton-ginger.php,GINGER,BROCKHAMPTON,113.41874494067318
https://www.albumoftheyear.org/album/7341-deafheaven-sunbather.php,Sunbather,Deafheaven,113.41606968549365
https://www.albumoftheyear.org/album/89910-phoebe-bridgers-stranger-in-the-alps.php,Stranger in the Alps,Phoebe Bridgers,113.41272110916975
https://www.albumoftheyear.org/album/3933-green-day-dookie.php,Dookie,Green Day,113.41019743354754
https://www.albumoftheyear.org/album/211264-porter-robinson-nurture.php,Nurture,Porter Robinson,113.41019743354754
https://www.albumoftheyear.org/album/96297-charli-xcx-pop-2.php,Pop 2,Charli XCX,113.40016009379927
https://www.albumoftheyear.org/album/697567-carly-rae-jepsen-the-loveliest-time.php,The Loveliest Time,Carly Rae Jepsen,113.40016009379927
https://www.albumoftheyear.org/album/95176-post-malone-beerbongs-bentleys.php,beerbongs & bentleys,Post Malone,113.40016009379927
https://www.albumoftheyear.org/album/478872-big-krit-wiz-khalifa-girl-talk-smoke-dza-full-court-press.php,Full Court Press,"Big K.R.I.T., Wiz Khalifa, Girl Talk & Smoke DZA",113.39929891601058
